trade_id,timestamp,symbol,buyer_account_id,seller_account_id,price,quantity,notional_value
TRD_000001,2026-05-20T09:37:16+00:00,ETH/USDT,ACC_0067,ACC_0069,3643.329377,6.116164,22283.2
TRD_000002,2026-05-17T10:23:58+00:00,BTC/USDT,ACC_0007,ACC_0062,68495.023857,10.775024,738035.53
TRD_000003,2026-05-16T16:15:49+00:00,ETH/USDT,ACC_0069,ACC_0067,3625.200918,13.813323,50076.07
TRD_000004,2026-05-12T16:17:21+00:00,BTC/USDT,ACC_0068,ACC_0006,67976.387264,2.230366,151612.22
TRD_000005,2026-05-12T20:26:32+00:00,XRP/USDT,ACC_0065,ACC_0056,0.62098,4.299956,2.67
TRD_000006,2026-05-20T17:06:13+00:00,ETH/USDT,ACC_0056,ACC_0066,3637.013879,5.872584,21358.67
TRD_000007,2026-05-11T09:20:58+00:00,ETH/USDT,ACC_0041,ACC_0065,3603.644831,49.90051,179823.71
TRD_000008,2026-05-18T16:52:59+00:00,ETH/USDT,ACC_0057,ACC_0066,3651.404003,21.043297,76837.58
TRD_000009,2026-05-21T11:14:31+00:00,BTC/USDT,ACC_0069,ACC_0015,68977.514663,6.051751,417434.74
TRD_000010,2026-05-17T09:19:15+00:00,BTC/USDT,ACC_0066,ACC_0053,68302.997817,3.388637,231454.07
TRD_000011,2026-05-19T01:31:13+00:00,ETH/USDT,ACC_0052,ACC_0053,3628.884564,24.854945,90195.73
TRD_000012,2026-05-10T18:47:16+00:00,ETH/USDT,ACC_0078,ACC_0068,3581.294744,25.993581,93090.68
TRD_000013,2026-05-10T15:34:18+00:00,SOL/USDT,ACC_0074,ACC_0068,165.694422,223.963433,37109.49
TRD_000014,2026-05-14T10:47:15+00:00,XRP/USDT,ACC_0041,ACC_0062,0.621121,11.295732,7.02
TRD_000015,2026-05-14T16:00:30+00:00,XRP/USDT,ACC_0079,ACC_0013,0.624702,17.398549,10.87
TRD_000016,2026-05-19T11:42:11+00:00,SOL/USDT,ACC_0046,ACC_0070,166.703935,11.52023,1920.47
TRD_000017,2026-05-15T16:23:35+00:00,SOL/USDT,ACC_0083,ACC_0068,165.286485,32.830814,5426.49
TRD_000018,2026-05-20T23:18:00+00:00,XRP/USDT,ACC_0027,ACC_0016,0.627817,14.245239,8.94
TRD_000019,2026-05-10T03:56:15+00:00,BTC/USDT,ACC_0066,ACC_0026,67661.0091,3.416765,231181.77
TRD_000020,2026-05-09T20:50:41+00:00,SOL/USDT,ACC_0068,ACC_0062,165.539163,4.30926,713.35
TRD_000021,2026-05-10T16:04:48+00:00,XRP/USDT,ACC_0062,ACC_0061,0.619513,8.920107,5.53
TRD_000022,2026-05-18T06:52:19+00:00,ETH/USDT,ACC_0071,ACC_0064,3637.572869,177.622384,646114.36
TRD_000023,2026-05-10T02:45:04+00:00,ETH/USDT,ACC_0079,ACC_0033,3607.512665,42.396071,152944.36
TRD_000024,2026-05-17T21:02:58+00:00,BTC/USDT,ACC_0043,ACC_0070,68517.033927,22.468929,1539504.37
TRD_000025,2026-05-10T15:21:56+00:00,ETH/USDT,ACC_0043,ACC_0070,3603.320402,9.187383,33105.08
TRD_000026,2026-05-17T10:16:48+00:00,ETH/USDT,ACC_0052,ACC_0051,3640.840286,16.460199,59928.96
TRD_000027,2026-05-17T15:44:44+00:00,ETH/USDT,ACC_0056,ACC_0039,3616.368404,54.775891,198089.8
TRD_000028,2026-05-18T20:44:12+00:00,ETH/USDT,ACC_0066,ACC_0034,3630.543035,5.848786,21234.27
TRD_000029,2026-05-21T10:17:07+00:00,BTC/USDT,ACC_0035,ACC_0069,68752.275065,1.502831,103323.05
TRD_000030,2026-05-18T16:40:16+00:00,ETH/USDT,ACC_0040,ACC_0080,3616.026919,10.463651,37836.84
TRD_000031,2026-05-20T16:20:55+00:00,SOL/USDT,ACC_0056,ACC_0068,166.666206,32.067024,5344.49
TRD_000032,2026-05-16T11:10:24+00:00,XRP/USDT,ACC_0068,ACC_0066,0.622523,3.754615,2.34
TRD_000033,2026-05-15T10:35:55+00:00,ETH/USDT,ACC_0017,ACC_0021,3638.600348,10.610745,38608.26
TRD_000034,2026-05-17T10:05:45+00:00,ETH/USDT,ACC_0010,ACC_0028,3602.735125,9.008177,32454.08
TRD_000035,2026-05-12T16:43:23+00:00,SOL/USDT,ACC_0040,ACC_0070,165.595979,11.533164,1909.85
TRD_000036,2026-05-20T19:37:56+00:00,ETH/USDT,ACC_0053,ACC_0066,3636.24702,14.018253,50973.83
TRD_000037,2026-05-15T10:26:49+00:00,XRP/USDT,ACC_0020,ACC_0063,0.623816,4.382709,2.73
TRD_000038,2026-05-09T16:08:27+00:00,ETH/USDT,ACC_0031,ACC_0060,3599.265813,2.307448,8305.12
TRD_000039,2026-05-20T15:48:38+00:00,XRP/USDT,ACC_0080,ACC_0064,0.622288,33.11802,20.61
TRD_000040,2026-05-17T13:02:29+00:00,ETH/USDT,ACC_0081,ACC_0069,3631.363185,6.320312,22951.35
TRD_000041,2026-05-19T10:10:56+00:00,ETH/USDT,ACC_0046,ACC_0082,3644.863855,13.406274,48864.04
TRD_000042,2026-05-18T15:31:21+00:00,XRP/USDT,ACC_0005,ACC_0061,0.627012,3.230231,2.03
TRD_000043,2026-05-22T18:22:46+00:00,XRP/USDT,ACC_0066,ACC_0067,0.625643,8.008244,5.01
TRD_000044,2026-05-12T10:42:06+00:00,SOL/USDT,ACC_0042,ACC_0074,165.728912,9.694801,1606.71
TRD_000045,2026-05-21T11:34:06+00:00,XRP/USDT,ACC_0053,ACC_0066,0.626677,9.213118,5.77
TRD_000046,2026-05-21T10:53:36+00:00,SOL/USDT,ACC_0083,ACC_0032,167.330256,18.185012,3042.9
TRD_000047,2026-05-10T23:11:25+00:00,ETH/USDT,ACC_0048,ACC_0015,3599.378772,9.275546,33386.2
TRD_000048,2026-05-13T09:50:53+00:00,ETH/USDT,ACC_0044,ACC_0080,3627.547584,10.679263,38739.53
TRD_000049,2026-05-11T10:26:19+00:00,BTC/USDT,ACC_0076,ACC_0050,67805.74651,34.792117,2359105.47
TRD_000050,2026-05-17T09:30:44+00:00,BTC/USDT,ACC_0070,ACC_0031,68615.837667,5.233505,359101.33
TRD_000051,2026-05-18T13:00:51+00:00,ETH/USDT,ACC_0058,ACC_0067,3646.040298,14.808699,53993.11
TRD_000052,2026-05-15T17:07:25+00:00,SOL/USDT,ACC_0049,ACC_0062,165.778475,4.152688,688.43
TRD_000053,2026-05-19T08:45:35+00:00,BTC/USDT,ACC_0049,ACC_0062,68491.441234,9.761347,668568.72
TRD_000054,2026-05-17T09:46:04+00:00,BTC/USDT,ACC_0042,ACC_0064,68658.85554,32.824151,2253668.64
TRD_000055,2026-05-14T10:20:31+00:00,ETH/USDT,ACC_0044,ACC_0065,3601.03001,18.777789,67619.38
TRD_000056,2026-05-21T14:17:22+00:00,ETH/USDT,ACC_0025,ACC_0037,3633.11322,2.967949,10782.89
TRD_000057,2026-05-15T08:24:26+00:00,BTC/USDT,ACC_0076,ACC_0065,68369.485409,35.336124,2415912.61
TRD_000058,2026-05-11T09:51:58+00:00,ETH/USDT,ACC_0069,ACC_0001,3596.155226,9.198476,33079.15
TRD_000059,2026-05-10T10:13:16+00:00,XRP/USDT,ACC_0076,ACC_0045,0.620641,70.078629,43.49
TRD_000060,2026-05-10T11:05:39+00:00,SOL/USDT,ACC_0024,ACC_0064,165.384279,12.299087,2034.08
TRD_000061,2026-05-21T16:03:45+00:00,BTC/USDT,ACC_0060,ACC_0061,68551.779394,24.014298,1646222.86
TRD_000062,2026-05-11T10:39:07+00:00,SOL/USDT,ACC_0049,ACC_0066,165.526904,18.995257,3144.23
TRD_000063,2026-05-16T16:00:30+00:00,XRP/USDT,ACC_0050,ACC_0070,0.624423,11.914203,7.44
TRD_000064,2026-05-15T10:47:36+00:00,SOL/USDT,ACC_0054,ACC_0025,165.928907,20.640171,3424.8
TRD_000065,2026-05-17T14:51:23+00:00,ETH/USDT,ACC_0061,ACC_0052,3632.928994,2.724589,9898.24
TRD_000066,2026-05-11T15:50:54+00:00,SOL/USDT,ACC_0043,ACC_0011,165.455428,15.159163,2508.17
TRD_000067,2026-05-14T08:23:23+00:00,XRP/USDT,ACC_0022,ACC_0069,0.6222,2.91636,1.81
TRD_000068,2026-05-13T20:03:13+00:00,ETH/USDT,ACC_0062,ACC_0061,3613.124722,8.369342,30239.48
TRD_000069,2026-05-15T10:12:54+00:00,XRP/USDT,ACC_0011,ACC_0023,0.622047,5.647701,3.51
TRD_000070,2026-05-11T17:18:54+00:00,XRP/USDT,ACC_0035,ACC_0055,0.621484,4.196238,2.61
TRD_000071,2026-05-22T20:57:57+00:00,ETH/USDT,ACC_0041,ACC_0064,3656.740462,27.044296,98893.97
TRD_000072,2026-05-11T16:29:59+00:00,BTC/USDT,ACC_0063,ACC_0065,67841.182518,2.619884,177736.03
TRD_000073,2026-05-11T15:33:40+00:00,BTC/USDT,ACC_0047,ACC_0080,68193.002091,5.3422,364300.66
TRD_000074,2026-05-21T10:20:03+00:00,SOL/USDT,ACC_0074,ACC_0082,166.965982,121.12427,20223.63
TRD_000075,2026-05-10T10:43:00+00:00,BTC/USDT,ACC_0011,ACC_0069,67979.918761,4.729488,321510.21
TRD_000076,2026-05-16T10:15:58+00:00,XRP/USDT,ACC_0062,ACC_0032,0.623074,5.23767,3.26
TRD_000077,2026-05-11T18:21:27+00:00,BTC/USDT,ACC_0014,ACC_0064,68008.815821,3.123655,212436.08
TRD_000078,2026-05-12T10:47:51+00:00,ETH/USDT,ACC_0061,ACC_0069,3604.060431,3.049058,10988.99
TRD_000079,2026-05-16T09:05:21+00:00,BTC/USDT,ACC_0072,ACC_0064,68297.892844,756.955849,51698489.46
TRD_000080,2026-05-16T16:18:37+00:00,ETH/USDT,ACC_0014,ACC_0079,3626.023427,27.602744,100088.2
TRD_000081,2026-05-11T15:08:12+00:00,BTC/USDT,ACC_0013,ACC_0062,68328.202689,10.942052,747650.75
TRD_000082,2026-05-10T15:43:59+00:00,BTC/USDT,ACC_0067,ACC_0062,67469.560906,5.369353,362267.89
TRD_000083,2026-05-15T22:06:00+00:00,SOL/USDT,ACC_0063,ACC_0064,167.106907,4.722843,789.22
TRD_000084,2026-05-16T06:02:12+00:00,XRP/USDT,ACC_0007,ACC_0065,0.623861,5.892989,3.68
TRD_000085,2026-05-20T16:27:45+00:00,BTC/USDT,ACC_0046,ACC_0058,68533.1788,27.403449,1878045.47
TRD_000086,2026-05-17T02:03:22+00:00,SOL/USDT,ACC_0045,ACC_0073,166.635333,30.661834,5109.34
TRD_000087,2026-05-18T15:38:16+00:00,BTC/USDT,ACC_0040,ACC_0062,68916.487948,9.797979,675242.3
